
0,226,172,1,0
0,229,175,2,0
0,228,175,3,0
0,232,179,4,0
0,231,179,5,0
0,232,179,6,0
2,167,290,219,10
3,302,194,219,10
2,167,290,220,10
3,301,193,220,10
2,167,290,221,10
3,303,194,221,10
2,167,290,222,10
3,301,194,222,10
2,167,290,223,10
3,303,194,223,10
2,167,290,224,10
3,301,192,224,10
2,167,290,225,10
3,303,194,225,10
2,167,290,226,10
3,302,193,226,10
2,167,290,227,10
3,301,193,227,10
2,167,290,228,10
3,303,194,228,10
2,167,290,229,10
3,302,193,229,10
2,167,290,230,10
3,301,193,230,10
2,167,290,231,10
3,303,194,231,10
2,167,290,232,10
3,301,192,232,10
2,167,290,233,10
3,303,194,233,10
2,167,290,234,10
3,302,193,234,10
2,167,290,235,10
3,302,193,235,10
2,167,290,236,10
3,301,193,236,10
2,167,290,237,10
3,303,193,237,10
2,167,290,238,10
3,301,191,238,10
2,167,290,239,10
3,303,194,239,10
2,167,290,240,10
3,303,194,240,10
2,167,290,241,10
3,299,191,241,10
